activity_id,sister_id,month,clients_contacted,new_users,follow_up_completed,referrals,stockout_days,community_sessions,travel_km,reported_work_days
79,LS0021,10/1/2025,35,24,15,2,4,4,47.8,10
80,LS0021,4/1/2025,28,17,13,4,1,7,64.5,11
81,LS0021,9/1/2025,28,12,10,3,0,9,74.3,26
82,LS0021,3/1/2025,38,28,20,2,0,5,81.1,14
83,LS0021,6/1/2025,37,22,15,3,1,7,87.8,22
84,LS0021,12/1/2025,56,32,24,3,1,3,81.2,25
85,LS0022,1/1/2025,30,17,9,4,6,12,110.5,26
86,LS0022,12/1/2025,12,6,4,0,7,5,24.5,25
87,LS0022,5/1/2025,5,3,2,0,1,5,127.8,14
88,LS0022,10/1/2025,46,26,16,4,2,4,64.2,24
89,LS0022,2/1/2025,43,30,15,4,3,0,128.7,16
90,LS0023,4/1/2025,12,9,5,1,8,0,95.2,20
91,LS0023,7/1/2025,30,22,15,3,1,4,50.5,22
92,LS0023,12/1/2025,29,18,15,1,3,1,69.1,17
93,LS0023,5/1/2025,34,15,10,5,3,10,118.3,18
94,LS0023,1/1/2025,8,4,2,1,3,8,39.4,19
95,LS0023,9/1/2025,42,29,25,6,0,0,68.6,10
96,LS0024,11/1/2025,48,23,14,0,1,6,82.2,14
97,LS0024,12/1/2025,22,16,12,1,1,1,44.8,14
98,LS0024,1/1/2025,22,16,9,1,10,9,72.5,20
99,LS0024,8/1/2025,22,13,9,2,3,2,93.9,23
100,LS0024,10/1/2025,14,9,5,1,11,6,66.7,13
101,LS0025,6/1/2025,31,15,10,0,2,11,22.6,12
102,LS0025,4/1/2025,30,16,11,0,3,12,34.5,24
103,LS0025,11/1/2025,32,19,11,1,7,11,23.3,17
104,LS0026,4/1/2025,32,15,9,2,3,8,122.4,22
105,LS0026,7/1/2025,34,23,18,0,3,7,216.5,25
106,LS0026,5/1/2025,37,26,19,1,3,7,139.8,26
107,LS0027,7/1/2025,28,16,10,0,3,4,109.8,18
108,LS0027,10/1/2025,37,17,11,2,5,8,72.9,14
109,LS0027,11/1/2025,39,16,11,1,2,5,34.4,23
110,LS0027,12/1/2025,10,5,3,1,0,6,22.2,18
111,LS0027,5/1/2025,39,20,10,3,1,5,98.9,26
112,LS0027,3/1/2025,20,10,8,3,1,8,31.6,20
113,LS0028,2/1/2025,45,19,13,5,1,2,11.8,22
114,LS0028,1/1/2025,55,26,14,6,2,4,36.5,23
115,LS0028,11/1/2025,32,18,13,3,2,12,26.9,25
116,LS0028,6/1/2025,24,14,9,2,3,9,36.8,13
117,LS0028,12/1/2025,16,12,7,1,2,3,36.1,22
118,LS0029,2/1/2025,22,10,7,2,0,11,56.2,20
119,LS0029,8/1/2025,31,16,12,1,3,4,67.5,12
120,LS0029,1/1/2025,37,27,17,0,5,12,59.5,25
121,LS0030,5/1/2025,25,13,8,3,3,3,30.2,12
122,LS0030,12/1/2025,15,7,5,1,1,10,36.5,23
123,LS0030,8/1/2025,36,16,10,5,6,0,42.6,15
124,LS0030,7/1/2025,30,12,8,1,0,5,28.2,19
125,LS0030,4/1/2025,21,9,6,1,1,7,14.6,22
126,LS0031,6/1/2025,30,19,16,2,2,8,38.9,10
127,LS0031,11/1/2025,23,12,10,2,2,10,33.3,11
128,LS0031,5/1/2025,22,10,6,3,14,7,22.5,25
129,LS0031,3/1/2025,41,30,18,4,3,12,23.2,21
130,LS0031,2/1/2025,8,4,3,1,11,1,50.8,13
131,LS0032,5/1/2025,21,15,10,1,0,6,70.8,21
132,LS0032,6/1/2025,16,10,8,0,15,8,82.9,12
133,LS0032,10/1/2025,50,37,29,1,2,1,69.8,26
134,LS0032,9/1/2025,22,11,6,1,2,7,44.7,19
135,LS0032,12/1/2025,34,23,16,3,0,0,118.6,22
136,LS0033,1/1/2025,23,12,7,1,0,9,33.4,12
137,LS0033,9/1/2025,34,19,14,4,3,0,42,15
138,LS0033,2/1/2025,9,4,3,1,11,6,35.8,15
139,LS0033,3/1/2025,34,15,11,2,2,7,38,20
140,LS0033,6/1/2025,29,21,16,1,15,8,13.9,12
141,LS0033,12/1/2025,23,11,8,2,0,3,26.1,14
142,LS0034,4/1/2025,15,10,6,2,8,8,109.8,15
143,LS0034,9/1/2025,17,10,7,1,3,12,59.9,22
144,LS0035,10/1/2025,17,7,6,0,6,3,92.5,20
145,LS0035,12/1/2025,23,14,10,3,6,0,31.2,15
146,LS0035,3/1/2025,28,13,11,3,3,11,103,18
147,LS0036,1/1/2025,24,10,7,0,1,6,87.6,14
148,LS0036,3/1/2025,45,22,16,6,0,3,70.3,15
149,LS0036,4/1/2025,12,7,6,0,15,0,63.9,19
150,LS0036,10/1/2025,17,8,6,1,6,3,99.7,19
151,LS0036,6/1/2025,22,14,11,1,14,5,63.9,26
152,LS0037,1/1/2025,52,21,11,7,0,10,85.1,11
153,LS0038,10/1/2025,10,7,6,0,2,8,101.8,26
154,LS0038,1/1/2025,24,17,12,0,11,1,47.6,14
155,LS0038,2/1/2025,41,21,11,1,3,7,64.7,15
156,LS0039,4/1/2025,16,10,5,1,12,7,39.8,14
157,LS0039,5/1/2025,24,14,10,3,9,0,26.1,15
158,LS0039,11/1/2025,35,18,10,3,6,1,15.7,19
159,LS0039,3/1/2025,37,19,14,3,0,12,25.4,16
160,LS0040,1/1/2025,28,16,10,0,3,8,80,22
161,LS0041,5/1/2025,7,5,3,1,12,7,20.1,26
162,LS0041,2/1/2025,41,27,17,5,2,10,13.1,21
163,LS0041,12/1/2025,31,21,11,2,7,12,34.7,26
164,LS0041,6/1/2025,19,11,7,1,1,9,34.7,18
165,LS0041,3/1/2025,40,29,17,5,0,3,44.6,23
166,LS0042,3/1/2025,26,11,8,0,2,7,161.6,25
167,LS0042,7/1/2025,18,9,6,2,14,7,105.6,17
168,LS0042,12/1/2025,25,15,12,1,0,9,90.2,20
169,LS0042,9/1/2025,13,9,5,1,3,7,182.6,20
170,LS0042,1/1/2025,17,12,10,1,11,5,113.2,26
171,LS0043,3/1/2025,34,14,11,3,1,4,49,23
172,LS0043,4/1/2025,43,18,13,6,3,10,45.4,10
173,LS0044,8/1/2025,35,21,11,1,0,4,34.4,15
174,LS0044,12/1/2025,50,25,17,6,3,7,50.5,18
175,LS0044,5/1/2025,43,25,20,2,7,9,31.5,19
176,LS0044,4/1/2025,31,22,15,1,7,8,12.7,16
177,LS0045,5/1/2025,48,23,15,3,1,9,145.3,13
178,LS0046,9/1/2025,15,11,7,0,7,2,119.1,13
179,LS0046,2/1/2025,25,11,7,1,6,12,82.3,24
180,LS0046,3/1/2025,14,9,7,1,9,5,107.6,24
181,LS0047,4/1/2025,29,20,10,2,0,1,40.7,10
182,LS0047,6/1/2025,19,8,4,2,0,8,23.4,23
183,LS0047,5/1/2025,17,8,4,1,4,3,18.3,20
184,LS0048,7/1/2025,39,23,14,2,2,2,26.9,19
185,LS0048,5/1/2025,27,13,7,1,6,11,39.3,15
186,LS0048,3/1/2025,36,22,12,1,7,12,22.1,16
187,LS0048,6/1/2025,19,12,8,2,8,0,34.7,13
188,LS0049,3/1/2025,19,13,11,3,8,1,76.7,13
189,LS0049,6/1/2025,41,29,15,3,5,11,84,11
190,LS0049,1/1/2025,18,9,6,1,0,8,104.3,26
191,LS0049,9/1/2025,49,27,22,3,2,10,82.5,19
192,LS0050,7/1/2025,34,14,11,4,1,7,134.2,18
193,LS0050,9/1/2025,10,7,6,1,5,2,158.9,15
194,LS0050,8/1/2025,56,36,30,4,1,7,191.5,26
195,LS0051,4/1/2025,28,14,9,3,14,5,50.2,26
196,LS0051,7/1/2025,24,15,9,3,3,3,77.2,11
197,LS0051,3/1/2025,12,7,4,1,15,5,72.8,12
198,LS0052,9/1/2025,33,14,9,4,0,8,123.4,22
199,LS0052,11/1/2025,10,7,4,1,15,6,127.9,15
200,LS0052,8/1/2025,35,24,15,1,7,11,199.7,21
201,LS0052,5/1/2025,36,16,11,2,1,4,81.5,17
202,LS0052,4/1/2025,15,10,7,2,11,6,153.5,13
203,LS0052,6/1/2025,27,14,11,3,3,2,166.5,25
204,LS0053,1/1/2025,26,14,11,2,1,3,181.2,10
205,LS0053,4/1/2025,21,9,5,1,0,1,201.8,14
206,LS0053,11/1/2025,21,12,7,0,6,7,126,11
207,LS0054,5/1/2025,21,13,9,2,0,3,48.7,19
208,LS0054,6/1/2025,39,24,19,0,5,2,5.5,10
209,LS0054,4/1/2025,11,8,5,1,8,5,17.6,11
210,LS0055,11/1/2025,26,19,10,3,6,6,73.2,12
211,LS0055,1/1/2025,61,27,19,2,2,10,213.3,11
212,LS0055,12/1/2025,25,11,6,3,12,0,166.9,24
213,LS0055,5/1/2025,10,5,3,1,13,8,206,20
214,LS0055,9/1/2025,27,17,11,3,2,11,130.5,23
215,LS0056,7/1/2025,32,24,14,2,2,6,30.3,24
216,LS0056,3/1/2025,32,13,8,1,2,5,34.2,16
217,LS0056,11/1/2025,44,27,20,1,1,10,37.7,11
218,LS0056,4/1/2025,45,19,16,1,2,7,24.6,15
219,LS0056,12/1/2025,23,15,9,1,2,9,22.5,20
220,LS0056,5/1/2025,35,22,15,4,0,9,34.5,19
221,LS0057,2/1/2025,24,17,14,4,3,11,148.8,24
222,LS0057,12/1/2025,24,13,11,2,2,12,199,16
223,LS0057,11/1/2025,18,9,6,1,15,3,218.7,10
224,LS0057,8/1/2025,13,8,7,0,1,7,176.3,19
225,LS0058,10/1/2025,54,33,26,7,5,4,88,15
226,LS0058,4/1/2025,20,13,11,2,1,2,95.9,23
227,LS0058,12/1/2025,46,26,21,3,2,2,36,24
228,LS0059,8/1/2025,36,20,15,1,2,10,78.8,23
229,LS0059,12/1/2025,46,30,20,5,3,9,22.7,15
230,LS0059,11/1/2025,17,10,6,3,0,7,63.3,21
231,LS0059,9/1/2025,8,5,4,0,8,3,68.7,13
232,LS0060,7/1/2025,21,14,7,3,0,3,121.7,14
233,LS0060,4/1/2025,23,10,8,1,1,4,98,20
234,LS0060,5/1/2025,13,8,5,0,11,0,90.2,13
235,LS0060,9/1/2025,36,24,17,2,3,6,69.7,17
236,LS0060,10/1/2025,36,25,16,3,1,11,71,15
237,LS0061,5/1/2025,21,8,5,3,0,1,36,24
238,LS0061,10/1/2025,14,6,5,1,2,0,12.8,26
239,LS0061,2/1/2025,13,6,5,2,2,7,39.5,22
240,LS0062,8/1/2025,38,18,15,2,3,4,211.5,17
241,LS0062,9/1/2025,35,15,11,2,2,10,225.9,20
242,LS0062,4/1/2025,17,8,6,2,3,8,102,25
243,LS0062,12/1/2025,20,14,10,2,9,0,169.1,10
244,LS0062,1/1/2025,11,6,5,0,0,12,159.9,21
245,LS0062,7/1/2025,37,20,11,0,1,11,126,11
246,LS0063,10/1/2025,34,16,13,4,0,0,42.8,10
247,LS0063,7/1/2025,50,30,22,5,3,4,83.5,25
248,LS0063,6/1/2025,14,6,3,1,2,12,76.3,19
249,LS0064,6/1/2025,13,9,7,1,2,9,92,16
250,LS0064,12/1/2025,34,15,12,5,3,4,86,19
251,LS0064,11/1/2025,7,4,3,1,3,9,94.7,20
252,LS0064,5/1/2025,11,6,3,0,3,2,102.4,13
253,LS0064,8/1/2025,22,12,8,3,13,0,94.8,24
254,LS0065,10/1/2025,18,9,7,1,1,5,110.3,23
255,LS0065,9/1/2025,57,24,20,5,7,3,73.6,26
256,LS0065,12/1/2025,34,23,12,2,0,1,112.3,15
257,LS0066,5/1/2025,16,7,4,2,0,2,16.4,26
258,LS0066,10/1/2025,20,11,7,2,12,5,12.3,11
259,LS0066,9/1/2025,31,20,12,1,2,0,22.3,17
260,LS0067,2/1/2025,14,10,8,0,2,7,18.3,19
261,LS0067,10/1/2025,35,25,18,4,0,1,35.5,17
262,LS0067,8/1/2025,39,20,12,2,3,6,27.7,14
263,LS0067,5/1/2025,26,11,6,2,0,10,19.5,20
264,LS0067,9/1/2025,17,12,9,1,0,3,40.8,15
265,LS0068,3/1/2025,46,20,17,7,4,1,48.1,22
266,LS0068,10/1/2025,34,15,11,4,0,9,68.5,21
267,LS0068,6/1/2025,12,9,7,1,4,12,75.9,23
268,LS0068,12/1/2025,43,19,14,3,2,4,70.7,17
269,LS0068,11/1/2025,55,28,22,3,0,7,93.3,11
270,LS0068,5/1/2025,23,16,13,3,4,8,114,24
271,LS0069,3/1/2025,23,14,12,3,9,0,89.1,25
272,LS0069,11/1/2025,22,14,12,3,0,4,44,18
273,LS0070,7/1/2025,21,13,9,1,8,2,37.9,22
274,LS0070,10/1/2025,30,15,12,4,7,8,17.1,19
275,LS0070,4/1/2025,9,5,4,1,9,9,53.9,10
276,LS0070,6/1/2025,10,6,3,0,0,8,34.7,12
277,LS0071,8/1/2025,24,15,12,1,0,12,86.4,21
278,LS0071,2/1/2025,28,15,8,2,3,9,90.8,16
279,LS0071,11/1/2025,56,28,21,4,5,0,60.9,10
280,LS0071,12/1/2025,58,28,23,5,1,4,125.9,25
281,LS0071,6/1/2025,17,9,6,0,8,5,83.3,16
282,LS0072,8/1/2025,26,12,10,3,9,4,49.5,25
283,LS0072,12/1/2025,38,18,12,3,0,9,81.1,25
284,LS0072,3/1/2025,30,15,10,1,3,8,123.6,14
285,LS0073,7/1/2025,33,15,11,3,7,4,27.3,23
286,LS0073,8/1/2025,16,10,7,0,14,5,42.8,13
287,LS0073,3/1/2025,26,12,9,2,1,10,8.8,15
288,LS0073,9/1/2025,42,22,13,3,2,5,51.9,26
289,LS0074,4/1/2025,53,36,22,7,0,12,188.9,25
290,LS0074,2/1/2025,18,13,11,1,1,10,118.1,25
291,LS0074,7/1/2025,37,26,14,0,3,0,169.3,21
292,LS0074,12/1/2025,30,12,9,4,0,3,164.7,17
293,LS0074,6/1/2025,19,8,5,2,12,5,187.5,10
294,LS0074,9/1/2025,15,10,8,2,1,4,179.6,16
295,LS0075,7/1/2025,12,6,5,0,4,3,124.7,24
296,LS0075,3/1/2025,7,3,2,1,11,8,168.6,23
297,LS0075,8/1/2025,17,8,5,0,4,1,129.3,23
298,LS0076,1/1/2025,48,30,16,1,1,3,155.4,19
299,LS0076,6/1/2025,28,16,12,2,7,9,167,26
300,LS0076,10/1/2025,11,5,3,1,8,6,214.5,17
301,LS0077,12/1/2025,35,16,11,1,2,9,99.6,25
302,LS0077,6/1/2025,20,14,8,1,13,4,156.7,10
303,LS0077,1/1/2025,51,28,23,1,6,7,128.8,22
304,LS0077,8/1/2025,23,17,11,1,1,6,202.6,25
305,LS0078,2/1/2025,43,29,23,5,6,12,41.8,21
306,LS0078,11/1/2025,45,21,13,2,0,8,30.7,13
307,LS0078,12/1/2025,31,16,10,3,2,0,24.6,21
308,LS0079,7/1/2025,28,20,16,4,3,9,183.1,19
309,LS0079,11/1/2025,22,10,6,2,0,8,168.1,15
310,LS0079,9/1/2025,30,15,8,3,0,0,152.3,20
311,LS0079,1/1/2025,23,12,9,2,1,11,106.9,19
312,LS0079,10/1/2025,23,12,8,1,2,1,202.1,21
313,LS0080,10/1/2025,20,13,9,1,7,2,105.6,10
314,LS0080,1/1/2025,16,9,7,2,13,5,68.9,12
315,LS0080,11/1/2025,16,8,5,1,2,12,78,26
316,LS0080,5/1/2025,30,14,7,4,3,9,69.2,17
317,LS0081,3/1/2025,22,14,8,1,8,0,61.2,20
318,LS0081,5/1/2025,21,12,7,2,3,5,229.6,20
319,LS0082,12/1/2025,29,16,12,2,2,9,40.8,13
320,LS0082,3/1/2025,34,17,10,1,1,0,23.5,19
321,LS0082,2/1/2025,13,7,6,1,2,12,47.7,24
322,LS0082,6/1/2025,25,14,11,2,15,0,23.6,16
323,LS0083,2/1/2025,57,41,35,5,0,3,14.5,21
324,LS0083,9/1/2025,6,3,2,1,15,0,24.3,26
325,LS0083,5/1/2025,10,7,4,1,9,0,37,25
326,LS0084,5/1/2025,32,13,7,0,1,10,106.7,13
327,LS0084,6/1/2025,30,20,15,1,3,2,81.1,15
328,LS0084,12/1/2025,29,19,12,4,1,5,105.4,13
329,LS0084,2/1/2025,19,10,7,1,12,3,34.1,16
330,LS0084,9/1/2025,14,6,3,1,12,0,34.5,12
331,LS0085,8/1/2025,29,17,9,4,8,8,218.7,17
332,LS0085,6/1/2025,56,30,20,3,3,9,221.3,23
333,LS0085,1/1/2025,29,17,9,3,0,9,178.2,15
334,LS0085,4/1/2025,32,15,8,2,3,2,122,12
335,LS0085,3/1/2025,53,27,17,7,6,10,237.5,13
336,LS0085,7/1/2025,23,12,6,0,4,8,195.7,17
337,LS0086,10/1/2025,21,8,6,1,15,5,82.2,24
338,LS0087,1/1/2025,29,12,7,2,6,11,102.9,21
339,LS0087,4/1/2025,40,30,21,1,5,2,45.4,14
340,LS0087,7/1/2025,10,5,3,1,8,1,89.8,14
341,LS0088,12/1/2025,48,23,12,5,3,4,120.6,20
342,LS0088,2/1/2025,21,10,8,1,10,1,99,24
343,LS0088,3/1/2025,36,21,15,0,2,10,195.7,16
344,LS0088,11/1/2025,19,11,8,1,5,7,220.5,19
345,LS0088,8/1/2025,39,20,16,3,1,1,163,21
346,LS0089,8/1/2025,42,24,17,3,2,7,47.2,23
347,LS0089,9/1/2025,23,13,10,3,0,0,112.3,25
348,LS0089,12/1/2025,21,13,7,2,7,10,64.8,26
349,LS0089,4/1/2025,46,22,17,2,3,7,102.9,12
350,LS0089,10/1/2025,11,5,3,0,13,7,95.8,20
351,LS0090,12/1/2025,29,18,10,4,3,9,194.8,11
352,LS0090,1/1/2025,36,26,13,3,3,8,65.6,20
353,LS0090,10/1/2025,18,10,7,1,8,4,168.4,22
354,LS0090,9/1/2025,39,27,23,5,0,12,132,14
355,LS0090,7/1/2025,35,26,16,2,0,6,193.6,23
356,LS0090,2/1/2025,33,13,9,1,4,0,131.7,16
357,LS0091,1/1/2025,21,10,6,2,13,0,75.2,19
358,LS0091,7/1/2025,29,15,11,0,0,3,82.1,13
359,LS0091,6/1/2025,15,10,8,1,3,6,72.2,20
360,LS0092,12/1/2025,43,30,16,6,0,2,81.6,23
361,LS0092,1/1/2025,60,40,27,3,2,7,26.6,15
362,LS0092,9/1/2025,31,23,16,0,1,2,96.1,10
363,LS0092,10/1/2025,21,9,7,3,8,8,102.9,23
364,LS0092,2/1/2025,19,13,9,3,10,1,95.1,17
365,LS0092,11/1/2025,13,5,3,1,8,8,96.2,11
366,LS0093,7/1/2025,26,12,6,2,2,6,49.9,17
367,LS0093,6/1/2025,29,16,12,3,1,5,42.6,26
368,LS0093,8/1/2025,47,27,16,4,3,2,43.3,20
369,LS0093,9/1/2025,23,16,13,1,14,1,26.4,21
370,LS0093,3/1/2025,28,19,16,3,1,6,21,19
371,LS0093,11/1/2025,31,16,13,1,12,4,42,26
372,LS0094,7/1/2025,22,12,9,1,0,10,35.5,26
373,LS0094,2/1/2025,25,15,13,2,1,11,53.9,14
374,LS0094,8/1/2025,27,15,13,4,4,8,26.7,12
375,LS0094,9/1/2025,30,16,8,3,1,0,35.3,16
376,LS0095,8/1/2025,7,3,2,1,1,6,56.3,14
377,LS0095,6/1/2025,30,15,11,3,3,11,35.4,15
378,LS0095,9/1/2025,12,6,4,0,2,11,43.1,20
379,LS0095,7/1/2025,11,8,6,1,13,0,46.6,23
380,LS0095,12/1/2025,30,17,9,3,0,7,25.9,12
381,LS0096,8/1/2025,37,20,14,4,0,9,23.8,24
382,LS0096,3/1/2025,17,10,7,0,0,5,31,26
383,LS0096,5/1/2025,23,11,9,3,2,6,9.3,20
384,LS0096,10/1/2025,38,23,18,1,2,7,15.3,19
385,LS0096,2/1/2025,20,15,10,1,0,4,39.6,19
386,LS0096,7/1/2025,22,10,7,3,4,11,27.6,19
387,LS0097,12/1/2025,17,11,8,1,1,5,37,14
388,LS0097,8/1/2025,41,28,15,3,2,4,48.7,10
389,LS0097,5/1/2025,32,16,9,3,2,7,22.7,10
390,LS0098,7/1/2025,54,23,16,4,0,4,35.4,25
391,LS0099,6/1/2025,14,9,5,0,5,3,109.5,22
392,LS0099,9/1/2025,15,10,5,2,0,12,220.8,12
393,LS0100,11/1/2025,47,29,22,5,2,12,33.6,21
394,LS0100,5/1/2025,23,10,7,2,2,8,20.3,14
395,LS0100,1/1/2025,31,22,17,4,3,4,34.7,20
396,LS0100,8/1/2025,40,27,23,1,3,0,34.3,11
397,LS0101,11/1/2025,50,25,14,7,3,2,70.2,24
398,LS0101,10/1/2025,31,21,17,1,5,3,67.6,14
399,LS0101,7/1/2025,6,3,2,0,5,2,128.7,10
400,LS0102,5/1/2025,45,32,19,3,5,1,102.2,23
401,LS0102,7/1/2025,25,12,6,3,2,8,92,15
402,LS0102,6/1/2025,45,23,15,3,6,11,182.2,19
403,LS0102,11/1/2025,30,19,11,3,0,0,171.2,14
404,LS0102,3/1/2025,15,8,7,2,6,4,88,19
405,LS0102,12/1/2025,19,10,6,3,1,11,129.2,15
406,LS0103,1/1/2025,17,8,6,2,7,4,5.7,23
407,LS0103,8/1/2025,34,22,14,1,12,8,16,12
408,LS0103,6/1/2025,27,19,11,3,5,0,31.2,23
409,LS0103,2/1/2025,30,14,12,3,0,1,36.3,19
410,LS0103,3/1/2025,23,13,11,1,5,6,34.7,17
411,LS0103,4/1/2025,24,14,9,1,2,0,17,24
412,LS0104,5/1/2025,21,15,12,0,8,8,31.1,12
413,LS0104,6/1/2025,8,4,2,0,11,0,14.1,24
414,LS0104,1/1/2025,23,10,7,2,3,10,31.3,13
415,LS0104,10/1/2025,38,22,17,6,2,4,46.3,11
416,LS0104,4/1/2025,35,23,17,0,7,7,36.1,25
417,LS0105,5/1/2025,26,11,8,0,1,11,112.7,10
418,LS0105,12/1/2025,28,16,12,4,3,0,68.9,23
419,LS0105,6/1/2025,56,31,24,2,6,4,21.9,20
420,LS0106,9/1/2025,44,24,14,3,2,2,22.8,24
421,LS0107,6/1/2025,40,30,21,0,4,11,114.6,18
422,LS0107,3/1/2025,22,9,6,3,3,9,122.7,19
423,LS0107,12/1/2025,34,22,15,5,7,8,89.3,21
424,LS0107,8/1/2025,35,23,14,1,1,10,118.9,25
425,LS0107,4/1/2025,6,3,2,0,1,8,91.4,12
426,LS0108,4/1/2025,40,26,14,1,3,1,45.5,13
427,LS0108,8/1/2025,18,9,5,0,3,9,37.4,17
428,LS0108,2/1/2025,24,18,11,3,5,3,28.1,11
429,LS0108,7/1/2025,22,16,13,1,5,0,41.6,23
430,LS0109,9/1/2025,47,23,12,2,3,6,97.6,11
431,LS0109,1/1/2025,33,15,9,1,1,10,58.4,17
432,LS0109,11/1/2025,46,24,17,3,7,1,61.2,25
433,LS0109,2/1/2025,24,15,10,2,1,6,90.4,11
434,LS0109,4/1/2025,25,15,8,3,10,8,67.8,26
435,LS0110,4/1/2025,55,34,22,4,6,4,51.1,14
436,LS0110,7/1/2025,40,29,23,2,1,10,5.7,14
