supply_id,month,state,facility,method,opening_stock,received,distributed,closing_stock,stockout_days,delivery_delay_days
38,2/1/2025,Kano,FAC-KAN-1,IUD,426,136,321,241,10,14
39,3/1/2025,Kano,FAC-KAN-1,IUD,241,361,131,471,1,1
40,4/1/2025,Kano,FAC-KAN-1,IUD,471,278,298,451,2,0
41,5/1/2025,Kano,FAC-KAN-1,IUD,451,228,105,574,2,2
42,6/1/2025,Kano,FAC-KAN-1,IUD,574,278,101,751,6,5
43,7/1/2025,Kano,FAC-KAN-1,IUD,751,270,162,859,1,2
44,8/1/2025,Kano,FAC-KAN-1,IUD,859,197,259,797,0,0
45,9/1/2025,Kano,FAC-KAN-1,IUD,797,366,349,814,1,2
46,10/1/2025,Kano,FAC-KAN-1,IUD,814,37,161,690,17,13
47,11/1/2025,Kano,FAC-KAN-1,IUD,690,186,183,693,1,1
48,12/1/2025,Kano,FAC-KAN-1,IUD,693,156,330,519,2,4
49,1/1/2025,Kano,FAC-KAN-2,Other,467,208,231,444,0,1
50,2/1/2025,Kano State,FAC-KAN-2,Other,444,124,206,362,2,0
51,3/1/2025,kano,FAC-KAN-2,Other,362,264,117,509,1,0
52,4/1/2025,Kano,FAC-KAN-2,Other,509,392,166,735,2,2
53,5/1/2025,Kano,FAC-KAN-2,Other,735,384,321,798,0,0
54,6/1/2025,Kano,FAC-KAN-2,Other,798,387,223,962,2,2
55,7/1/2025,Kano,FAC-KAN-2,Other,962,33,174,821,17,12
56,8/1/2025,Kano,FAC-KAN-2,Other,821,162,207,776,0,0
57,9/1/2025,Kano,FAC-KAN-2,Other,776,318,267,827,1,2
58,10/1/2025,Kano,FAC-KAN-2,Other,827,318,98,1047,1,1
59,11/1/2025,Kano,FAC-KAN-2,Other,1047,111,240,918,2,2
60,12/1/2025,Kano,FAC-KAN-2,Other,918,215,99,1034,2,1
61,1/1/2025,Kano,FAC-KAN-3,Condom,203,334,136,401,2,1
62,2/1/2025,Kano,FAC-KAN-3,Condom,401,358,321,438,3,2
63,3/1/2025,Kano,FAC-KAN-3,Condom,438,106,211,333,5,8
64,4/1/2025,Kano,FAC-KAN-3,Condom,333,315,178,470,1,0
65,5/1/2025,kano,FAC-KAN-3,Condom,470,375,348,497,0,1
66,6/1/2025,Kano,FAC-KAN-3,Condom,497,0,164,333,9,11
67,7/1/2025,Kano,FAC-KAN-3,Condom,333,252,334,251,3,2
68,8/1/2025,KANO,FAC-KAN-3,Condom,251,224,101,374,2,2
69,9/1/2025,Kano,FAC-KAN-3,Condom,374,178,93,459,2,1
70,10/1/2025,Kano,FAC-KAN-3,Condom,459,132,344,247,1,1
71,11/1/2025,Kano,FAC-KAN-3,Condom,247,175,278,144,7,3
72,12/1/2025,Kano,FAC-KAN-3,Condom,144,369,160,353,2,2
73,1/1/2025,Kaduna,FAC-KAD-1,Injectable,347,231,123,455,10,5
74,2/1/2025,Kaduna,FAC-KAD-1,Injectable,455,134,109,480,3,2
75,3/1/2025,Kaduna,FAC-KAD-1,Injectable,480,350,135,695,3,0
76,4/1/2025,Kaduna State,FAC-KAD-1,Injectable,695,185,159,721,6,4
77,5/1/2025,Kaduna,FAC-KAD-1,Injectable,721,251,318,654,16,10
78,6/1/2025,Kaduna,FAC-KAD-1,Injectable,654,392,94,952,2,1
79,7/1/2025,KADUNA,FAC-KAD-1,Injectable,952,320,223,1049,2,5
80,8/1/2025,Kaduna,FAC-KAD-1,Injectable,1049,97,93,1053,11,10
81,9/1/2025,Kaduna,FAC-KAD-1,Injectable,1053,257,114,1196,6,3
82,10/1/2025,Kaduna,FAC-KAD-1,Injectable,1196,252,135,1313,0,2
83,11/1/2025,Kaduna,FAC-KAD-1,Injectable,1313,252,197,1368,3,2
84,12/1/2025,Kaduna,FAC-KAD-1,Injectable,1368,131,157,1342,3,2
85,1/1/2025,Kaduna,FAC-KAD-2,Other,779,358,266,871,3,0
86,2/1/2025,kaduna,FAC-KAD-2,Other,871,353,272,952,2,1
87,3/1/2025,Kaduna,FAC-KAD-2,Other,952,274,105,1121,2,1
88,4/1/2025,Kaduna,FAC-KAD-2,Other,1121,310,298,1133,6,8
89,5/1/2025,Kaduna,FAC-KAD-2,Other,1133,309,104,1338,2,2
90,6/1/2025,Kaduna,FAC-KAD-2,Other,1338,214,237,1315,16,9
91,7/1/2025,Kaduna,FAC-KAD-2,Other,1315,230,129,1416,3,1
92,8/1/2025,Kaduna,FAC-KAD-2,Other,1416,280,181,1515,3,1
93,9/1/2025,Kaduna State,FAC-KAD-2,Other,1515,384,270,1629,2,3
94,10/1/2025,Kaduna,FAC-KAD-2,Other,1629,361,82,1908,3,1
95,11/1/2025,Kaduna,FAC-KAD-2,Other,1908,306,259,1955,3,2
96,12/1/2025,Kaduna,FAC-KAD-2,Other,1955,162,180,1937,2,2
97,1/1/2025,kaduna,FAC-KAD-3,Condom,548,391,151,788,0,0
98,2/1/2025,Kaduna,FAC-KAD-3,Condom,788,389,204,973,0,1
99,3/1/2025,Kaduna,FAC-KAD-3,Condom,973,230,330,873,4,7
100,4/1/2025,Kaduna,FAC-KAD-3,Condom,873,323,196,1000,0,0
101,5/1/2025,Kaduna,FAC-KAD-3,Condom,1000,298,239,1059,10,7
102,6/1/2025,Kaduna,FAC-KAD-3,Condom,1059,362,88,1333,2,0
103,7/1/2025,Kaduna,FAC-KAD-3,Condom,1333,214,81,1466,0,1
104,8/1/2025,Kaduna,FAC-KAD-3,Condom,1466,218,281,1403,4,3
105,9/1/2025,Kaduna State,FAC-KAD-3,Condom,1403,200,223,1380,2,2
106,10/1/2025,Kaduna State,FAC-KAD-3,Condom,1380,187,298,1269,1,1
107,11/1/2025,Kaduna,FAC-KAD-3,Condom,1269,348,148,1469,3,1
108,12/1/2025,Kaduna,FAC-KAD-3,Condom,1469,209,99,1579,2,0
109,1/1/2025,Oyo,FAC-OYO-1,Pills,284,297,80,501,2,1
110,2/1/2025,Oyo,FAC-OYO-1,Pills,501,394,336,559,2,0
111,3/1/2025,Oyo,FAC-OYO-1,Pills,559,0,307,252,14,15
112,4/1/2025,Oyo,FAC-OYO-1,Pills,252,219,210,261,3,5
113,5/1/2025,Oyo,FAC-OYO-1,Pills,261,103,272,92,3,1
114,6/1/2025,OYO,FAC-OYO-1,Pills,92,320,273,139,3,2
115,7/1/2025,oyo,FAC-OYO-1,Pills,139,400,165,374,0,1
116,8/1/2025,Oyo,FAC-OYO-1,Pills,374,374,212,536,0,2
117,9/1/2025,Oyo,FAC-OYO-1,Pills,536,262,175,623,9,10
118,10/1/2025,Oyo,FAC-OYO-1,Pills,623,139,241,521,3,2
119,11/1/2025,Oyo,FAC-OYO-1,Pills,521,113,324,310,2,1
120,12/1/2025,Oyo,FAC-OYO-1,Pills,310,319,113,516,1,1
121,1/1/2025,Oyo,FAC-OYO-2,Pills,318,269,166,421,0,1
122,2/1/2025,Oyo,FAC-OYO-2,Pills,421,220,228,413,0,2
123,3/1/2025,Oyo,FAC-OYO-2,Pills,413,271,312,372,2,4
124,4/1/2025,Oyo,FAC-OYO-2,Pills,372,223,235,360,2,0
125,5/1/2025,Oyo,FAC-OYO-2,Pills,360,230,323,267,0,0
126,6/1/2025,Oyo,FAC-OYO-2,Pills,267,204,99,372,3,2
127,7/1/2025,Oyo,FAC-OYO-2,Pills,372,133,342,163,6,8
128,8/1/2025,Oyo,FAC-OYO-2,Pills,163,235,84,314,0,1
129,9/1/2025,Oyo,FAC-OYO-2,Pills,314,269,179,404,5,6
130,10/1/2025,Oyo,FAC-OYO-2,Pills,404,398,333,469,2,0
131,11/1/2025,Oyo,FAC-OYO-2,Pills,469,260,147,582,3,2
132,12/1/2025,Oyo,FAC-OYO-2,Pills,582,344,81,845,1,2
133,1/1/2025,Oyo,FAC-OYO-3,Other,439,235,258,416,3,0
134,2/1/2025,Oyo,FAC-OYO-3,Other,416,350,91,675,0,2
135,3/1/2025,Oyo,FAC-OYO-3,Other,675,211,334,552,19,12
136,4/1/2025,OYO,FAC-OYO-3,Other,552,279,302,529,1,0
137,5/1/2025,Oyo State,FAC-OYO-3,Other,529,47,115,461,13,15
138,6/1/2025,Oyo,FAC-OYO-3,Other,461,126,284,303,4,7
139,7/1/2025,Oyo,FAC-OYO-3,Other,303,364,213,454,3,0
140,8/1/2025,Oyo,FAC-OYO-3,Other,454,327,345,436,4,7
141,9/1/2025,Oyo,FAC-OYO-3,Other,436,118,317,237,14,10
142,10/1/2025,Oyo,FAC-OYO-3,Other,237,207,186,258,0,0
143,11/1/2025,oyo,FAC-OYO-3,Other,258,389,110,537,0,1
144,12/1/2025,Oyo,FAC-OYO-3,Other,537,334,317,554,3,1
145,1/1/2025,Rivers,FAC-RIV-1,IUD,571,206,88,689,0,0
146,2/1/2025,Rivers,FAC-RIV-1,IUD,689,385,261,813,1,1
147,3/1/2025,Rivers,FAC-RIV-1,IUD,813,201,340,674,0,0
148,4/1/2025,Rivers,FAC-RIV-1,IUD,674,260,279,655,1,0
149,5/1/2025,Rivers,FAC-RIV-1,IUD,655,239,343,551,1,0
150,6/1/2025,Rivers,FAC-RIV-1,IUD,551,395,294,652,0,2
151,7/1/2025,Rivers,FAC-RIV-1,IUD,652,247,113,786,10,3
152,8/1/2025,RIVERS,FAC-RIV-1,IUD,786,362,277,871,2,6
153,9/1/2025,rivers,FAC-RIV-1,IUD,871,249,143,977,3,5
154,10/1/2025,Rivers,FAC-RIV-1,IUD,977,57,212,822,10,15
155,11/1/2025,Rivers,FAC-RIV-1,IUD,822,185,312,695,2,4
156,12/1/2025,Rivers,FAC-RIV-1,IUD,695,273,220,748,2,1
157,1/1/2025,Rivers,FAC-RIV-2,Condom,322,184,194,312,0,2
158,2/1/2025,Rivers,FAC-RIV-2,Condom,312,274,204,382,4,5
159,3/1/2025,Rivers,FAC-RIV-2,Condom,382,354,215,521,0,2
160,4/1/2025,Rivers State,FAC-RIV-2,Condom,521,86,232,375,18,11
161,5/1/2025,Rivers,FAC-RIV-2,Condom,375,297,298,374,2,4
162,6/1/2025,Rivers,FAC-RIV-2,Condom,374,189,307,256,18,15
163,7/1/2025,RIVERS,FAC-RIV-2,Condom,256,261,114,403,9,8
164,8/1/2025,Rivers,FAC-RIV-2,Condom,403,165,238,330,11,11
165,9/1/2025,Rivers,FAC-RIV-2,Condom,330,298,142,486,1,0
166,10/1/2025,Rivers,FAC-RIV-2,Condom,486,162,177,471,10,13
167,11/1/2025,Rivers,FAC-RIV-2,Condom,471,344,160,655,3,1
168,12/1/2025,Rivers,FAC-RIV-2,Condom,655,192,90,757,1,0
169,1/1/2025,Rivers,FAC-RIV-3,Injectable,374,234,328,280,2,0
170,2/1/2025,RIVERS,FAC-RIV-3,Injectable,280,322,202,400,2,0
171,3/1/2025,Rivers,FAC-RIV-3,Injectable,400,297,306,391,3,0
172,4/1/2025,Rivers,FAC-RIV-3,Injectable,391,266,267,390,1,0
173,5/1/2025,Rivers,FAC-RIV-3,Injectable,390,313,88,615,1,1
174,6/1/2025,Rivers,FAC-RIV-3,Injectable,615,380,321,674,2,1
175,7/1/2025,Rivers,FAC-RIV-3,Injectable,674,220,330,564,18,9
176,8/1/2025,Rivers,FAC-RIV-3,Injectable,564,216,164,616,3,6
177,9/1/2025,Rivers,FAC-RIV-3,Injectable,616,380,289,707,3,1
178,10/1/2025,Rivers,FAC-RIV-3,Injectable,707,292,261,738,3,1
179,11/1/2025,rivers,FAC-RIV-3,Injectable,738,192,319,611,1,1
180,12/1/2025,Rivers,FAC-RIV-3,Injectable,611,330,350,591,0,2
